"Код_товара","Название_позиции","Ключевые_слова","Краткое_описание","Тип_товара","Цена","Валюта","Единица_измерения","Минимальный_объем_заказа","Оптовая_цена","Минимальный_заказ_опт","Ссылка_изображения","Наличие","Номер_группы","Детальное_описание","Адрес_подраздела","Возможность_поставки","Срок_поставки","Способ_упаковки","Уникальный_идентификатор","Идентификатор_товара","Идентификатор_подраздела","Идентификатор_группы","Производитель","Страна производитель"
"","Насос для перекачки дизельного топлива из бочки со счетчиком 220В, 60 л/мин","насос для перекачки дт  из бочки, насос для заправки, все для азс, бочковой насос, топливораздаточные колонки для дизельного топлива","Насос для перекачки дизельного топлива из бочки со счетчиком DRUM TECH 60, 220В, 60 л/мин. Для перекачивания топлива из бочки или вертикальной емкости.","r","4859.00","UAH","шт.","","","","http://images.prom.ua/2366142_w640_h640_drum_tech_60.jpg","+","85148","<p>Насос поможет вам без труда перекачать топливо из бочки в промежуточную емкость или заправить &nbsp;самостоятельно технику или транспорт. &nbsp;Данная модель оснащена встроенным фильтром грубой очистки и перепускным клапаном, обеспечивающим обвод топлива в случае закрытия раздаточного крана при включенном моторе. &nbsp;Насос работает под напряжением 220В и током 2,6 А. Обладает защитой от влаги класса IP55. На корпусе имеет кнопка включения ив выключения, к сети подсоединяется посредством 2-метрового электрошнура. &nbsp;Производительность насоса достигает 60 л/мин при выдаваемом на выходе давлении до 1,3 Бар. Эксплуатируется данная модель при температурах от -20 до +50 градусов, и может непрерывно работать, сохраняя свои рабочие характеристики, до 30 минут. Диаметр впускного и выпускного отверстия составляет один дюйм. Насос предназначен для работы с дизелем. Запрещается его использовать для перекачки алкоголя, воды или газа. Размер модели &ndash; 500х400х280 мм, а вес 16,5 кг.&nbsp;</p>
<p><strong>Характеристики:</strong></p>
<p>Напряжение: 220 В<br /> Ток: 2,6 А<br /> Класс защиты от влаги: IP 55<br /> Кнопка вкл./выкл.: есть<br /> Длина кабеля: 2 метра<br /> Цикл непрерывной работы: 30 мин<br /> Производительность макс.: 60 л/мин<br /> Давление на выходе, макс (ДТ).: 1,3 бар<br /> Встроеный обводной клапан: есть<br /> Впускное/выпускное отверстие: 1&#39; x 1&#39;<br /> Встроенный фильтр грубой очистки: есть<br /> Рабочая температура мин./макс.: &mdash;20&deg;C/ +50&deg;C<br /> Максимальная вязкость жидкости: дизель<br /> Разрешенные жидкости: дизель<br /> Запрещенные жидкости: газ, вода, алкоголь<br /> Вес брутто: 16,5 кг</p>
<p>Размер: 500x400x280 мм</p>
<p>В комплекте:</p>
<p>&bull; самовсасывающий электронасос<br /> &bull; механический счетчик Tech Flow 3C<br /> &bull; топливный напорный рукав 4 метра<br /> &bull; алюминиевый ручной раздаточный пистолет с поворотной муфтой, внутренняя резьба 19 мм (&frac34;&#39;)<br /> &bull; всасывающая труба 50 мм (2&#39;)</p>
<p>Цена без счетчика: 3278 грн (с НДС)</p>
<p><em>Узел может быть установлен непосредственно на 2&#39; (25 мм) резьбовой адаптер бочки или емкости.</em></p>
<p>&nbsp;</p>","http://prom.ua/Nasosy-pompy","","","Насос поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","119205","","4104","","",""
"","Лопастной насос для  топлива PA1, 220В, 60 л/мин","насос для перекачки топлива, для перекачки гсм, заправить дизельгенератор, насос для топлива, насос для ДТ","Лопастной насос для перекачки дизельного топлива PA1, 60 л/мин, 220 Вольт. Укомплектуем насос шлангом любой длины, топливораздаточным пистолетом","r","1990.00","UAH","шт.","","","","http://images.prom.ua/2361094_w640_h640_pa1_60.jpg","+","65059","<p>Насос PA1 предназначен для перекачки и раздачи дизельного топлива и может использоваться в комбинации с баками, резервуарами и прочими емкостями. Модель оснащена встроенным фильтром грубой очистки и специальным клапаном для обвода топлива в случае закрытия раздаточного крана при рабочем механизме. Главным действующим элементом устройства является лопастной электронасос, работающий при 220В и 50 Гц и обладающий производительностью до 60 л/мин и давлением на выходе до 2 Бар. Модель может непрерывно работать до 30 минут при рабочей температуре в пределах от -20 до +50 градусов Цельсия. Во время работы уровень шума насоса не превышает 80 дБ. Практические испытания показали, что насос в состоянии поднимать топливо при &laquo;сухом&raquo; всасывании с глубины до 2 м. PA1работает с дизельным топливом. Запрещается использовать модель для раздачи воды, бензина, газа или алкоголя. Корпус насоса изготовлен из чугуна, покрытого защитой от коррозии, ротор &ndash; из агломерированной стали, а вал &ndash; из неокисляемой стали. Вес насоса составляет 7,9 кг. &nbsp;</p>
<p><strong>Данная модель может быть укомплектована счетчиком расхода топлива</strong></p>
<p>&nbsp;</p>
<p><strong>Характеристики:</strong>&nbsp;Электронасос: 220В, 50 Гц<br /> Производительность: 60 л/мин<br /> Цикл непрерывной работы: 30 мин<br /> Давление на выходе макс.: 2 Бар<br /> Высота &laquo;сухого&raquo; всасывания: 2 м<br /> Обводной клапан: да<br /> Впускное отверстие: 1&#39;<br /> Выпускное отверстие: 1&#39;<br /> Ротор: агломерированная сталь<br /> Корпус: чугун с защитой от коррозии, покрашен<br /> Вал: неокисляемая сталь<br /> Встроенный в насос фильтр грубой очистки: да<br /> Диапазон рабочей температуры: &mdash;20/+50С<br /> Максимальная вязкость жидкости: дизельное топливо<br /> Разрешенные жидкости: дизель<br /> Запрещенные жидкости: газ, алкоголь, вода, бензин<br /> Максимальный уровень шума: 80 дБ<br /> Вес нетто: 7,5 кг<br /> Вес брутто: 7,9 кг</p>
<p>В комплекте:</p>
<p>&bull; самовентилирующийся асинхронный двигатель переменного тока, класс защиты IP 55, изоляция класса F<br /> &bull; тепловая защита в обмотке<br /> &bull; электрошнур 2 метра с вилкой<br /> &bull; самовсасывающий роторный лопастной насос с обводным клапаном<br /> &bull; встроенный нержавеющий фильтр грубой очистки<br /> &bull; соединение 25 мм (1&#39;)</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","","","Насос поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","119300","","141201","","",""
"","Лопастной насос для перекачки солярки PA2, 220В, 80 л/мин","насос раздачи топлива, для перекачки светлых нефтепродуктов, заправка дизельгенератора, толпивный насос, насос для топлива","Насос PA 2 для быстрой перекачки ДТ, 220В, 80 л/мин.","r","2890.00","UAH","шт.","","","","http://images.prom.ua/2361136_w640_h640_pa2_80.jpg","+","65059","<p>Насос PA2 предназначен для перекачки и раздачи дизельного топлива и может использоваться в комбинации с баками, резервуарами и прочими емкостями. Модель оснащена встроенным фильтром грубой очистки и специальным клапаном для обвода топлива в случае закрытия раздаточного крана при рабочем механизме. Главным действующим элементом устройства является лопастной электронасос, работающий при 220В и 50 Гц и обладающий производительностью до 80 л/мин и давлением на выходе до 2,5 Бар. Модель может непрерывно работать до 30 минут при рабочей температуре в пределах от -20 до +50 градусов Цельсия. Во время работы уровень шума насоса не превышает 80 дБ. Практические испытания показали, что насос в состоянии поднимать топливо при &laquo;сухом&raquo; всасывании с глубины до 2 м. PA2 работает с дизельным топливом. Запрещается использовать модель для раздачи воды, бензина, газа или алкоголя. Корпус насоса изготовлен из покрашенного чугуна, покрытого защитой от коррозии, ротор &ndash; из агломерированной стали, а вал &ndash; из неокисляемой стали. Вес насоса составляет 13,2 кг. &nbsp;</p>
<p><strong>Данная модель может быть укомплектована счетчиком расхода топлива</strong></p>
<p>&nbsp;</p>
<p><strong>Характеристики:</strong>&nbsp;Электронасос: 220В, 50 Гц<br /> Производительность: 80 л/мин<br /> Цикл непрерывной работы: 30 мин<br /> Давление на выходе макс.: 2,5 Бар<br /> Высота &laquo;сухого&raquo; всасывания: 2 м<br /> Обводной клапан: да<br /> Впускное отверстие: 1&#39;<br /> Выпускное отверстие: 1&#39;<br /> Ротор: агломерированная сталь<br /> Корпус: чугун с защитой от коррозии, покрашен<br /> Встроенный в насос фильтр грубой очистки: да<br /> Диапазон рабочей температуры: &mdash;20/+50С<br /> Максимальная вязкость жидкости: дизельное топливо<br /> Разрешенные жидкости: дизель<br /> Запрещенные жидкости: газ, алкоголь, вода, бензин<br /> Максимальный уровень шума: 80 дБ<br /> Вес нетто: 12,8 кг<br /> Вес брутто: 13,2 кг</p>
<p>В комплекте:</p>
<p>&bull; самовсасывающий ротационный лопастной насос с обводным клапаном<br /> &bull; самовентилирующийся асинхронный двигатель переменного тока, класс защиты IP 55, изоляция класса F<br /> &bull; тепловая защита в обмотке<br /> &bull; встроенный съемный нержавеющий фильтр грубой очистки<br /> &bull; соединение 25 мм (1&#39;)<br /> &bull; электрошнур с вилкой</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","1","день","Доставка по Украине осуществляется курьерскими службами «НОВА ПОШТА», «Ночной Экспресс», «Евроэкспресс», «САТ», «Ваш час», «Интайм» до склада перевозчика в вашем городе или прямо на адрес заказчика. Стоимость доставки отдельно включается в счет или оплачивается получателем.","119342","","141201","","",""
"","Насос самовсасывающий для перекачки дизеля PA2, 220В, 100 л/мин","перекачать дизельное топливо, насос для дизтоплива, насос для перекачки солярки, заправка дизельгенератора, насос топлива","Лопастной насос PA 2 предназначен для быстрой перекачки дизельного топлива, 220В, 100 л/мин","r","3920.00","UAH","шт.","","","","http://images.prom.ua/2361159_w640_h640_pa2_100.jpg","+","65059","<p>Теперь перекачка топлива не составит для вас проблем. Насос используется в комбинации с баками, емкостями и резервуарами, &nbsp;а также может быть укомплектован различными по длине шлангами, что позволяет создать достаточно гибкое решение по перекачки топлива. Данная модель работает от сети 220В и представлен самовсасывающим лопастным электронасосом с производительностью до 100 л/мин. Насос оснащен встроенным фильтром грубой очистки и перепускным клапаном, выполняющим обвод топлива на случай закрытия раздаточного крана при включенном моторе. Для контроля количества перекачанного топлива насос может быть оборудован дополнительно счетчиком расхода топлива. Высота &laquo;сухого&raquo; всасывания модели РА2 достигает 3 метров. Мотор в состоянии непрерывно работать до 30 минут, при этом сохраняя свои рабочие характеристики. Насос эксплуатируется при температурах не ниже -20 и не выше +50 градусов. Модель РА2 развивает давление на выходе до 2 Бар, в уровень издаваемого шума во время работы не превышает 80 дБ. Насос работает с дизельным топливом и не может быть использован для перекачки газа, алкоголя, воды или бензина. Корпус модели выполнен из покрашенного чугуна с защитным антикоррозийным покрытием. Вес насоса составляет 14,1 кг.</p>
<p><strong>Данная модель может быть укомплектована счетчиком расхода топлива</strong></p>
<p><strong>Характеристики:</strong> Электронасос: 220В, 50 Гц<br /> Производительность: 98-100 л/мин<br /> Цикл непрерывной работы: 30мин<br /> Давление на выходе макс.: 2,5 Бар<br /> Высота &laquo;сухого&raquo; всасывания: 2 метра<br /> Высота всасывания: 4 метра<br /> Обводной клапан: да<br /> Впускное отверстие: 1&#39;<br /> Выпускное отверстие: 1&#39;<br /> Ротор: агломерированная сталь<br /> Корпус: чугун с защитой от коррозии, покрашен<br /> Вал: неокисляемая сталь<br /> Встроенный в насос фильтр грубой очистки: да<br /> Диапазон рабочей температуры: &mdash;20/+50С<br /> Максимальная вязкость жидкости: дизельное топливо<br /> Разрешенные жидкости: дизель<br /> Запрещенные жидкости: газ, алкоголь, вода, бензин<br /> Максимальный уровень шума 80: дБ<br /> Вес нетто: 13,7 кг<br /> Вес брутто: 14,1 кг</p>
<p>В комплекте:</p>
<p>&bull; самовсасывающий ротационный лопастной насос с обходным клапаном<br /> &bull; встроенный съемный нержавеющий фильтр грубой очистки<br /> &bull; соединение диаметром 25 мм (1&#39;)<br /> &bull; электрошнур с вилкой</p>
<p>&nbsp;</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","","","Насос поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","119355","","141201","","",""
"","Насос для перекачки масла E220: 220В, 28 л/мин","перекачка масла, насос перекачки отработки масла, насос для перекачки масла, насосы для перекачки масла, насос перекачки масла","Насос для перекачки масла E220: 220В, 28 л/мин.","r","3660.00","UAH","шт.","","","","http://images.prom.ua/3309660_w640_h640_e220.jpg","+","85171","<p> Насос E220 может использоваться как для перекачки дизельного топлива или машинного масла из открытых емкостей, так и для откачки отработанного масла или заправки двигателей и агрегатов. Модель оснащена электронасосом, работающим под напряжением 220 В с мощностью 550 Вт и выдающим производительность до 28 л/мин. Максимально достигаемое давление на выходе при использовании дизельного топлива составляет 2 Бар, а при использовании масла &ndash; 3 Бар. Насос в состоянии непрерывно функционировать в течение 30 минут при температурах от -20 до +50 градусов Цельсия. Устройство оснащается обводным клапаном для обвода топлива в случае закрытого раздаточного крана при включенном насосе. Модель E220 работает с маслом и дизельным топливом. Запрещается использовать насос для перекачки бензина, воды, алкоголя или газа. Вес модели составляется 9,5 кг, а уровень издаваемого шума во время работы не превышает 75 дБ. Насос укомплектован асинхронным двигателем, эксцентрическим роторным насосом, металлической подставкой для крепления, электрошнуром с вилкой. Корпус модели выполнен из штампованного алюминия. &nbsp;</p>
<p> В комплекте:</p>
<p> &bull; самовентилирующийся асинхронный двигатель переменного тока, класс защиты IP 55<br /> &bull; самовсасывающий эксцентрический роторный насос с обводным клапаном<br /> &bull; штампованный алюминиевый корпус<br /> &bull; металлическая подставка для крепления насоса<br /> &bull; соединение &mdash; съемные ниппели диаметром 25 мм (1&#39;)<br /> &bull; электрошнур с вилкой</p>
<p> &nbsp;</p>
<p> <strong>Характеристики:</strong>&nbsp;Электронасос: 220В, 550Вт, 50 Гц<br /> Производительность: 28 л/мин<br /> Цикл непрерывной работы: 30 мин<br /> Давление на выходе макс. дизельное топливо: 2 Бар<br /> Давление на выходе макс. масло: 3 Бар<br /> Обводной клапан: да<br /> Впускное отверстие: &frac34;&#39;<br /> Выпускное отверстие: &frac34;&#39;<br /> Встроенный в насос фильтр грубой очистки: нет<br /> Диапазон рабочей температуры: &mdash;20/+50С<br /> Разрешенные жидкости: дизель, масло<br /> Запрещенные жидкости: газ, алкоголь, вода, бензин<br /> Максимальный уровень шума: 75 дБ<br /> Вес нетто: 8,8 кг<br /> Вес брутто: 9,5 кг</p>
<p> Насосы для перекачки масла принадлежат к категории насосов вихревого типа, и используются, исходя из своего названия, для обеспечения процесса перекачки машинного, минерального, растительного масла, дизельного топлива (ДТ), а также для различных пищевых жидкостей. Отличаются удобством применения в процессе перекачивания различных продуктов из бочек, канистр, ёмкостей и резервуаров. Насосы для перекачки масла к тому же используются при возникновении необходимости повышения давления внутри трубопроводов. Нередко могут быть использованы для откачки отработанного масла из двигателей и различных агрегатов.</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","","","Насос поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерскими службами «НОВА ПОШТА», «Ночной Экспресс», «Евроэкспресс», «САТ», «Ваш час», «Интайм» до склада перевозчика в вашем городе или прямо на адрес заказчика. Стоимость доставки включается в счет или оплачивается получателем.","119365","","141201","","",""
"","Счетчик расхода дизельного топлива, масла Tech-Flow 3C, 20-120 л/мин","счетчик расхода дизельного топлива, расходомеры, счетчик топлива, счетчик масла, системы учета топлива","Механический счетчик расхода Tech-Flow 3C для  дизеля, керосина, уайт-спирита, антифриза, легких масел","r","1880.00","UAH","шт.","","","","http://images.prom.ua/1263644_w640_h640_techflow.jpg","+","65646","<p> Счетчик Tech-Flow 3C работает в режиме &laquo;самотека&raquo; и может устанавливаться как на ручной насос, так и на электронасосы с обводным клапаном. &nbsp;Модель основана на плавающем считывающем диске, который воспринимает и передает &nbsp;данные топливного потока через зубчатое колесо на калибровочное устройство, отражающее результат на передней панели счетчика. &nbsp;Счетчик характеризуется низким сопротивлением потоку, что делает возможным его работу &laquo;самотеком&raquo;. Модель Tech-Flow 3C поддерживает поток не менее 20 и не более 120 л/мин. Счетчик может использоваться для некоммерческого или технического &nbsp;учета сливаемого или перекачиваемого дизельного топлива, керосина, антифриза, легких масел или уайт-спирта с вязкостью не более 50 cps. Запрещается использовать данную модель для контроля количество перелитой воды, кислоты или другой жидкости, чья плотность выше плотности гидравлического масла. Счетчик подсоединяется к насосу через резьбовое соединение диаметром один дюйм. Максимально выдерживаемое давление составляет 3,5 бар. На счетчике отображается 3 цифры. Корпус и кожух модели выполнен из алюминия. Размеры модели Tech-Flow 3C &ndash; 140х170х200 мм, а вес &ndash; 1,8 кг.&nbsp;</p>
<p> <strong>Характеристика:</strong></p>
<p> Запрещенные жидкости: вода, кислоты, жидкости плотность которых больше, чем у гидравлического масла<br /> Поток жидкости мин-макс.: 20 &mdash; 120 л/мин<br /> Соединение резьбовое: 1&#39;<br /> Погрешность: +/-1%<br /> Максисальная вязкость жидкости: 50 cps*<br /> Максимальное давление: 3,5 бар<br /> Цифр на счетчике: 3 (333)<br /> Цифр несбрасываемых: 6 (666666)<br /> Тип: плавающий диск<br /> Материал корпуса: алюминий<br /> Материал кожуха: алюминий<br /> Вес: 1,8 кг<br /> 140х170х200 мм</p>
<p> *50 cps &mdash; вязкость антифриза при комнатной температур</p>
<p> Инструкция по калибровке:<iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/mdIjK0OwUSc?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>
<p> &nbsp;</p>","http://prom.ua/Schetchiki","","","Счетчик поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","120439","","153702","","",""
"","Счетчик учета выдачи дизельного топлива Tech Flow 4C, 20-120 л/мин, +/-1%","счетчики топлива, счетчик учета, заправка топливом, учет топлива, топливные счетчики","Счетчик расхода топлива, до 120 л/мин. Счетчик предназначен для учета выдачи дизеля, керосина, уайт — спирита, антифриза, легких масел","r","2440.00","UAH","шт.","","","","http://images.prom.ua/1502516_w640_h640_tech_flow_4cap.jpg","+","65646","<p>Счетчик Tech-Flow 4C работает в режиме &laquo;самотека&raquo; и может устанавливаться как на ручной насос, так и на электронасосы с обводным клапаном. &nbsp;Модель основана на плавающем считывающем диске, который воспринимает и передает &nbsp;данные топливного потока через зубчатое колесо на калибровочное устройство, отражающее результат на передней панели счетчика. &nbsp;Счетчик характеризуется низким сопротивлением потоку, что делает возможным его работу &laquo;самотеком&raquo;. Модель Tech-Flow 4C поддерживает поток не менее 20 и не более 120 л/мин. Счетчик может использоваться для некоммерческого или технического &nbsp;учета сливаемого или перекачиваемого дизельного топлива, керосина, антифриза, легких масел или уайт-спирта с вязкостью не более 50 cps. Запрещается использовать данную модель для контроля количество перелитой воды, кислоты или другой жидкости, чья плотность выше плотности гидравлического масла. Счетчик подсоединяется к насосу через резьбовое соединение диаметром один дюйм. Максимально выдерживаемое давление составляет 3,5 бар. На счетчике отображается 4 сбрасываемые цифры и 7 набрасываемых. Измерения отображаются в литрах. Корпус и кожух модели выполнен из алюминия. Размеры модели Tech-Flow 4C &ndash; 220х220х200 мм, а вес &ndash; 2,3 кг.&nbsp;</p>
<p><strong>Характеристика:</strong></p>
<p>Единица измерения: литр<br /> Поток жидкость (мин &mdash; макс): 20-120 л/мин<br /> Тип: плавающий диск<br /> Количество цифр на периодическом сбрасываемом счетчике: 4444<br /> Количество цифр на накопительном несбрасываемом счетчике: 77777777<br /> Максимальное рабочее давление: 3,5 бар<br /> Погрешность: +/-1%<br /> Максимальная вязкость жидкости: 50 cps*<br /> Соединение резьбовое: 1&#39; (25 мм)<br /> Материал корпуса: алюминий<br /> Материал кожуха: алюминий<br /> Вес: 2,2 кг<br /> Габаритные размеры: 220х220х200 мм</p>
<ul> <li>50 cps &mdash; вязкость антифриза при комнатной температуре<br /> *</li> <li>Инструкция по калибровке:<iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/mdIjK0OwUSc?rel=0&amp;wmode=transparent"" width=""560""></iframe>*</li> </ul>
<br />
<p>&nbsp;</p>","http://prom.ua/Rashodomery-zhidkostej","","","Счетчик поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","120649","","15370401","","","Италия"
"","Топливораздаточный кран для дизельного топлива Top Gun, до 80 л/мин, 1'F","пистолеты, топливный пистолет, заправочный пистолет, кран для заправки, пистолет для заправки топлива","Алюминиевый топливораздаточный механический кран для дизельного топлива, до 80 л/мин, 1'F","r","286.00","UAH","шт.","","","","http://images.prom.ua/173618_w640_h640_top_gun_nozzle_1.jpeg","+","65814","<p>Топливораздаточный кран Top Gun представляет собой ручной пистолет для раздачи дизельного топлива, подсоединяемый к напорному рукаву. Выполнен кран из алюминия с NBR-уплотнением (маслостойкий каучук). Модель Top Gun поддерживает поток топлива до 80 л/мин. Диаметр резьбового соединения составляет 1&#39;F (25 мм). Пистолет достаточно легок и &nbsp;удобен в применении.</p>","http://prom.ua/Oborudovanie-dlya-avtozapravochnyh-stantsij-neftebaz-obschee","","","Кран поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","120661","","1461","","",""
"","Топливный механический пистолет для бензина MX-60M, до 60 л/мин, 1'F (25 мм)","механический кран, топливозаправочный пистолет, пистолет для бензина, заправочный кран, топливораздаточный кран","Алюминевый механический топливораздаточный кран для бензина, до 80 л/мин.","r","286.00","UAH","шт.","","","","http://images.prom.ua/173625_w640_h640_top_gun_nozzle_1.jpeg","+","65814","<p>Механический ручной пистолет MX-60M используется для перекачки дизельного топлива и бензина. Выполнен данный топливораздаточный кран из алюминия с Viton-уплотнением, обладающим отличными бензостойкими характеристиками. Модель MX-60M поддерживает поток топлива до 60 л/мин. Диаметр резьбового соединения составляет 1&#39;F (25 мм). Пистолет достаточно удобен в применении и легок.&nbsp;</p>
<p>&nbsp;</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","","","Кран поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерской службой «НОВА ПОШТА», стоимость доставки включается в счет.","120669","","141201","","",""
"","Очень легкий переносной насос для перекачки дизельного топлива KPT,  24В, 40 л/мин","насос для перелива топлива, перекачать топливо, перекачка топлива, насосы для перекачки дизтоплива, насос для дизтоплива","Переносной легкий насос для перекачки дизельного топлива от аккумулятора 24В, 40 л/мин. Насос идеален в «полевых условиях», где нет питания 220В.","r","1580.00","UAH","шт.","","","","http://images.prom.ua/2361084_w640_h640_kpt_1240.jpg","+","65059","<p>Переносной насос КРТ идеально подходит для ситуаций, когда необходимо перекачивать или раздавать дизельное топливо для строительной и сельскохозяйственной техники, моторных лодок, катеров и прочего транспорта. Особенно данная модель удобна, когда отсутствует доступ к сети 220В. Рабочим элементом модели является 24-волтоовый электронасос с рабочим током 15А и производительностью 40 л/мин. Мотор обладает защитой от влаги класса IP55 и встроенным перепускным клапаном, обеспечивающим обвод топлива в случае закрытия раздаточного крана при включенном насосе. Модель КРТ развивает давление на выходе до 1,3 Бар, что позволяет поднимать топлива в сухом режиме с глубины до 2 метров. Продолжительность непрерывной работы насоса составляет 30 минут, а температура эксплуатации находится в пределах от -20 до +50 градусов. Насос КРТ работает с дизельным топливом. Запрещается использовать модель для раздачи воды, бензина, газа или алкоголя. Модель комплектуется 2-метровым кабелем и может быть дополнительно оборудована счетчиком расхода топлива. Вес насоса составляет всего 3,5 кг.</p>
<p><strong>Данная модель может быть укомплектована счетчиком расхода топлива</strong></p>
<p><strong>Характеристики:</strong></p>
<p>Напряжение: 24 В<br /> Ток: 15 A<br /> Класс защиты от влаги: IP 55<br /> Кнопка вкл./выкл.: есть<br /> Длина кабеля: 2 метра<br /> Цикл непрерывной работы: 30 мин<br /> Производительность макс.: 40 л/мин<br /> Давление на выходе, макс.: 1,3 бар<br /> Высота &laquo;сухого&raquo; всасывания: 2 метра<br /> Встроеный обводной клапан: есть<br /> Впускное/выпускное отверстие: &frac34;&#39; x &frac34;&#39;<br /> Рабочая температура мин./макс.: &mdash;20&deg;C/ +50&deg;C<br /> Максимальная вязкость жидкости: дизель<br /> Разрешенные жидкости: дизель<br /> Запрещенные жидкости: бензин, газ, керосин, вода, алкоголь<br /> Вес брутто: 3,9 кг</p>
<p>В комплекте:</p>
<p>&bull; самовсасывающий лопастной насос с обходным клапаном<br /> &bull; пластиковый корпус с ручкой<br /> &bull; электрошнур с зубчатыми зажимами &mdash; &laquo;крокодилы&raquo;<br /> &bull; электрический выключатель (в корпусе насоса)<br /> &bull; плавкий предохранитель<br /> &bull; всасывающий фильтр грубой очистки</p>
<p>Укомплектуем насос раздаточным пистолетом и шлангами любой длины.</p>
<p>&nbsp;</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","1","день","Доставка по Украине осуществляется курьерскими службами «НОВА ПОШТА», «Ночной Экспресс», «Евроэкспресс», «САТ», «Ваш час», «Интайм» до склада перевозчика в вашем городе или прямо на адрес заказчика. Стоимость доставки отдельно включается в счет или оплачивается получателем.","123001","","141201","","",""
